SrNo,Parameter,Unit,Month,Value,Data Source
177,Mg as CaCO3,mg/l,July,92.0,CPCB 2018
178,Sulphate,mg/l,July,62.0,CPCB 2018
179,Chloride,mg/l,July,45.0,CPCB 2018
180,Total alkalinity as CaCO3,mg/l,July,246.0,CPCB 2018
181,P-Alkalinity,mg/l,July,,CPCB 2018
182,Fluoride,mg/l,July,0.13,CPCB 2018
183,Colour,Hazen,July,20.0,CPCB 2018
184,Boron(B),mg/l,July,0.12,CPCB 2018
185,TKN,mg/l,July,4.9,CPCB 2018
186,Potassium,mg/l,July,10.0,CPCB 2018
187,Sodium,mg/l,July,43.0,CPCB 2018
188,Total Coliform,MPN/100ml,July,,CPCB 2018
189,Faecal Coliform,MPN/100ml,July,,CPCB 2018
190,pH,-,Aug,7.1,CPCB 2018
191,Conductivity,µs/cm,Aug,559.0,CPCB 2018
192,DO,mg/l,Aug,,CPCB 2018
193,COD,mg/l,Aug,82.0,CPCB 2018
194,BOD,mg/l,Aug,49.0,CPCB 2018
195,NO3-N,mg/l,Aug,2.8,CPCB 2018
196,NH3-N,mg/l,Aug,15.0,CPCB 2018
197,Phosphate,mg/l,Aug,1.03,CPCB 2018
198,TSS,mg/l,Aug,62.0,CPCB 2018
199,TDS,mg/l,Aug,345.0,CPCB 2018
200,FS,mg/l,Aug,289.0,CPCB 2018
201,Turbidity,NTU,Aug,92.0,CPCB 2018
202,TH as CaCO3,mg/l,Aug,210.0,CPCB 2018
203,Ca as CaCO3,mg/l,Aug,120.0,CPCB 2018
204,Mg as CaCO3,mg/l,Aug,90.0,CPCB 2018
205,Sulphate,mg/l,Aug,54.0,CPCB 2018
206,Chloride,mg/l,Aug,42.0,CPCB 2018
207,Total alkalinity as CaCO3,mg/l,Aug,224.0,CPCB 2018
208,P-Alkalinity,mg/l,Aug,,CPCB 2018
209,Fluoride,mg/l,Aug,0.14,CPCB 2018
210,Colour,Hazen,Aug,20.0,CPCB 2018
211,Boron(B),mg/l,Aug,0.15,CPCB 2018
212,TKN,mg/l,Aug,4.9,CPCB 2018
213,Potassium,mg/l,Aug,10.0,CPCB 2018
214,Sodium,mg/l,Aug,43.0,CPCB 2018
215,Total Coliform,MPN/100ml,Aug,,CPCB 2018
216,Faecal Coliform,MPN/100ml,Aug,,CPCB 2018
217,pH,-,Sept,7.4,CPCB 2018
218,Conductivity,µs/cm,Sept,724.0,CPCB 2018
219,DO,mg/l,Sept,,CPCB 2018
220,COD,mg/l,Sept,114.0,CPCB 2018
221,BOD,mg/l,Sept,82.0,CPCB 2018
222,NO3-N,mg/l,Sept,1.2,CPCB 2018
223,NH3-N,mg/l,Sept,19.0,CPCB 2018
224,Phosphate,mg/l,Sept,1.4,CPCB 2018
225,TSS,mg/l,Sept,37.0,CPCB 2018
226,TDS,mg/l,Sept,390.0,CPCB 2018
227,FS,mg/l,Sept,317.0,CPCB 2018
228,Turbidity,NTU,Sept,96.0,CPCB 2018
229,TH as CaCO3,mg/l,Sept,242.0,CPCB 2018
230,Ca as CaCO3,mg/l,Sept,138.0,CPCB 2018
231,Mg as CaCO3,mg/l,Sept,104.0,CPCB 2018
232,Sulphate,mg/l,Sept,63.0,CPCB 2018
233,Chloride,mg/l,Sept,42.0,CPCB 2018
234,Total alkalinity as CaCO3,mg/l,Sept,264.0,CPCB 2018
235,P-Alkalinity,mg/l,Sept,,CPCB 2018
236,Fluoride,mg/l,Sept,0.13,CPCB 2018
237,Colour,Hazen,Sept,30.0,CPCB 2018
238,Boron(B),mg/l,Sept,0.08,CPCB 2018
239,TKN,mg/l,Sept,5.3,CPCB 2018
240,Potassium,mg/l,Sept,11.0,CPCB 2018
241,Sodium,mg/l,Sept,47.0,CPCB 2018
242,Total Coliform,MPN/100ml,Sept,,CPCB 2018
243,Faecal Coliform,MPN/100ml,Sept,,CPCB 2018
244,pH,-,Oct,7.4,CPCB 2018
245,Conductivity,µs/cm,Oct,584.0,CPCB 2018
246,DO,mg/l,Oct,,CPCB 2018
247,COD,mg/l,Oct,160.0,CPCB 2018
248,BOD,mg/l,Oct,79.0,CPCB 2018
249,NO3-N,mg/l,Oct,1.5,CPCB 2018
250,NH3-N,mg/l,Oct,23.0,CPCB 2018
251,Phosphate,mg/l,Oct,2.4,CPCB 2018
252,TSS,mg/l,Oct,100.0,CPCB 2018
253,TDS,mg/l,Oct,384.0,CPCB 2018
254,FS,mg/l,Oct,280.0,CPCB 2018
255,Turbidity,NTU,Oct,112.0,CPCB 2018
256,TH as CaCO3,mg/l,Oct,220.0,CPCB 2018
257,Ca as CaCO3,mg/l,Oct,128.0,CPCB 2018
258,Mg as CaCO3,mg/l,Oct,92.0,CPCB 2018
259,Sulphate,mg/l,Oct,68.0,CPCB 2018
260,Chloride,mg/l,Oct,40.0,CPCB 2018
261,Total alkalinity as CaCO3,mg/l,Oct,234.0,CPCB 2018
262,P-Alkalinity,mg/l,Oct,,CPCB 2018
263,Fluoride,mg/l,Oct,,CPCB 2018
264,Colour,Hazen,Oct,30.0,CPCB 2018
265,Boron(B),mg/l,Oct,,CPCB 2018
266,TKN,mg/l,Oct,4.9,CPCB 2018
267,Potassium,mg/l,Oct,12.0,CPCB 2018
268,Sodium,mg/l,Oct,28.0,CPCB 2018
